id,name,description,event_type,start_date,end_date,is_active
1,新春キャンペーン,お正月限定の特別イベント,1,2024-01-01 00:00:00,2024-01-15 23:59:59,False
2,バレンタインイベント,チョコレートを集めてプレゼントをゲット,1,2024-02-10 00:00:00,2024-02-14 23:59:59,False
3,春の大感謝祭,ログインボーナス2倍,2,2024-03-20 00:00:00,2024-04-10 23:59:59,False
4,GWスペシャル,ゴールデンウィーク限定ミッション,1,2024-04-27 00:00:00,2024-05-06 23:59:59,False
5,夏祭りイベント,花火大会と屋台を楽しもう,1,2024-08-01 00:00:00,2024-08-31 23:59:59,False
6,秋のレイドバトル,強力なボスに挑戦,3,2024-10-01 00:00:00,2024-10-31 23:59:59,False
7,ハロウィンイベント,仮装コンテスト開催中,1,2024-10-25 00:00:00,2024-11-01 23:59:59,False
8,クリスマスキャンペーン,サンタからのプレゼント,1,2024-12-20 00:00:00,2024-12-26 23:59:59,True
9,年末カウントダウン,年末特別ログインボーナス,2,2024-12-28 00:00:00,2025-01-01 23:59:59,True
10,常設チュートリアル,ゲームの基本を学ぼう,4,2024-01-01 00:00:00,2099-12-31 23:59:59,True
