id,name,description,category_id,price,rarity,is_tradable,release_date
1,鉄の剣,初心者向けの基本的な剣,1,100,1,True,2024-01-01 00:00:00
2,鋼の剣,鍛錬された鋼で作られた剣,1,500,2,True,2024-01-01 00:00:00
3,炎の剣,炎の力を宿した魔法の剣,1,2000,4,True,2024-03-15 00:00:00
4,革の鎧,軽量で動きやすい防具,2,150,1,True,2024-01-01 00:00:00
5,鉄の鎧,標準的な防御力を持つ防具,2,800,2,True,2024-01-01 00:00:00
6,回復薬,HPを50回復する,3,30,1,True,2024-01-01 00:00:00
7,高級回復薬,HPを200回復する,3,150,2,True,2024-02-10 00:00:00
8,万能薬,全ての状態異常を治療する,3,500,3,False,2024-04-20 00:00:00
9,魔法の指輪,魔力を10%上昇させる,4,1200,3,True,2024-05-01 00:00:00
10,伝説の首飾り,全能力を5%上昇させる,4,10000,5,False,2024-06-15 00:00:00
11,テレポートの巻物,指定した街へ瞬間移動する,5,200,2,True,2024-01-01 00:00:00
12,宝の地図,隠されたダンジョンの場所を示す,5,5000,4,False,2024-07-01 00:00:00
