ID,カテゴリ,名前,説明,価格,攻撃力,防御力,レアリティ
1001,Weapon,鉄の剣,初心者向けの剣,100,10,0,1
1002,Weapon,鋼の剣,標準的な剣,500,25,0,2
1003,Weapon,ミスリルソード,軽くて鋭い剣,2000,45,0,3
1004,Weapon,炎の剣,炎をまとう魔剣,5000,60,0,4
1005,Weapon,伝説の聖剣,古代の力を秘めた剣,50000,120,10,5
2001,Armor,皮の鎧,基本的な防具,80,0,5,1
2002,Armor,鎖帷子,チェインメイル,400,0,15,2
2003,Armor,プレートメイル,重装鎧,1500,0,35,3
2004,Armor,ミスリルアーマー,軽くて丈夫,4000,0,50,4
2005,Armor,ドラゴンメイル,竜鱗の鎧,30000,5,80,5
3001,Accessory,銅の指輪,何の効果もない指輪,50,0,0,1
3002,Accessory,力の腕輪,攻撃力が上がる,800,10,0,2
3003,Accessory,守りのお守り,防御力が上がる,800,0,10,2
3004,Accessory,賢者の指輪,魔法の指輪,3000,5,5,3
3005,Accessory,竜王の首飾り,伝説のアクセサリー,25000,15,15,5
4001,Consumable,ポーション,HPを回復,50,0,0,1
4002,Consumable,ハイポーション,HPを大回復,200,0,0,2
4003,Consumable,エリクサー,全回復,1000,0,0,3
4004,Consumable,毒消し草,毒を治す,30,0,0,1
4005,Consumable,万能薬,状態異常を治す,500,0,0,2
