ID,名前,HP,攻撃力,防御力,レベル,エリアID,ボス,ドロップ率
1,スライム,10,3,1,1,1,False,0.5
2,ゴブリン,30,8,3,3,1,False,0.4
3,コボルト,25,6,2,2,1,False,0.45
4,バット,15,5,1,2,1,False,0.5
5,ラット,8,2,1,1,1,False,0.6
6,ゴブリンキング,200,30,20,10,1,True,0.8
7,オオカミ,40,10,4,4,2,False,0.4
8,オーク,80,15,8,5,2,False,0.3
9,リザードマン,90,18,10,6,2,False,0.3
10,ハーピー,60,14,5,5,2,False,0.35
11,オーガ,150,25,15,8,2,False,0.25
12,オークリーダー,300,40,25,12,2,True,0.85
13,スケルトン,50,12,6,5,3,False,0.35
14,ゾンビ,70,10,8,6,3,False,0.35
15,ゴースト,45,15,3,7,3,False,0.3
16,ワイト,100,20,12,9,3,False,0.25
17,リッチ,400,50,30,15,3,True,0.9
18,ウルフ,35,9,3,3,4,False,0.45
19,ベア,120,22,15,7,4,False,0.3
20,ワイルドボア,80,18,10,5,4,False,0.35
21,サーベルタイガー,180,35,18,10,4,False,0.2
22,キメラ,500,60,40,18,4,True,0.9
23,インプ,30,8,2,4,5,False,0.45
24,デーモン,200,40,25,12,5,False,0.2
25,サキュバス,150,30,15,10,5,False,0.25
26,アークデーモン,600,70,45,20,5,True,0.95
27,スライムベス,20,5,2,3,1,False,0.5
28,メタルスライム,5,1,99,10,1,False,0.01
29,キングスライム,300,25,20,15,1,True,0.85
30,ゴブリンアーチャー,35,12,3,4,1,False,0.4
31,ゴブリンシャーマン,40,15,4,5,1,False,0.35
32,ホブゴブリン,60,14,7,6,2,False,0.35
33,オークウォリアー,100,20,12,7,2,False,0.3
34,トロール,200,30,20,10,2,False,0.2
35,ストーンゴーレム,250,25,40,12,2,False,0.15
36,スケルトンナイト,80,18,15,8,3,False,0.3
37,スケルトンメイジ,50,25,5,9,3,False,0.3
38,バンシー,60,20,8,10,3,False,0.25
39,デュラハン,350,45,35,14,3,False,0.15
40,グリズリー,150,28,18,8,4,False,0.25
41,マンティコア,280,42,28,13,4,False,0.15
42,グリフォン,320,45,30,14,4,False,0.12
43,レッサーデーモン,100,25,15,8,5,False,0.3
44,ヘルハウンド,120,30,12,9,5,False,0.28
45,ナイトメア,180,35,20,11,5,False,0.22
46,ドラゴンパピー,150,28,22,10,6,False,0.2
47,ワイバーン,250,40,30,13,6,False,0.15
48,フレイムドラゴン,800,80,50,25,6,True,0.95
49,アイスドラゴン,750,75,55,24,7,True,0.95
50,サンダードラゴン,850,85,48,26,7,True,0.95
51,エルダードラゴン,1500,120,80,40,8,True,0.98
52,ポイズンスライム,25,6,3,4,1,False,0.45
53,ファイアゴブリン,45,14,5,6,5,False,0.35
54,アイスゴブリン,45,10,8,6,7,False,0.35
55,ダークエルフ,100,22,12,9,5,False,0.25
56,エルフレンジャー,80,25,8,8,4,False,0.28
57,ドワーフウォリアー,120,18,25,9,2,False,0.25
58,ミノタウロス,300,50,35,15,2,False,0.12
59,メデューサ,280,45,25,14,3,False,0.1
60,ケルベロス,450,55,40,17,5,False,0.08
61,ヒュドラ,700,70,50,22,6,True,0.92
62,フェニックス,600,65,45,20,8,True,0.9
63,クラーケン,900,90,60,28,7,True,0.95
64,ベヒーモス,1200,100,70,35,8,True,0.97
65,リヴァイアサン,1000,95,65,30,7,True,0.96
66,バハムート,2000,150,100,50,8,True,0.99
67,ゴーレム,180,20,35,11,2,False,0.2
68,ガーゴイル,140,25,20,10,3,False,0.22
69,コカトリス,100,22,12,9,4,False,0.25
70,バジリスク,200,35,25,13,6,False,0.15
71,ワーウルフ,160,32,18,11,4,False,0.2
72,ヴァンパイア,350,48,30,16,3,True,0.88
73,ヴァンパイアロード,700,75,50,25,3,True,0.95
74,ダークナイト,400,55,45,18,5,False,0.1
75,デスナイト,550,65,55,22,5,True,0.92
76,アンデッドドラゴン,1000,85,70,30,8,True,0.96
77,スライムナイト,100,20,15,8,1,False,0.3
78,ゴブリンライダー,120,25,12,9,1,False,0.28
79,オークキング,500,60,45,20,2,True,0.93
80,トロールキング,600,70,50,23,2,True,0.94
81,デスマスター,450,60,35,19,3,True,0.9
82,ビーストキング,550,65,45,21,4,True,0.92
83,デーモンロード,800,85,55,28,5,True,0.96
84,ドラゴンロード,1800,140,90,45,6,True,0.98
85,カオスドラゴン,2500,180,120,60,8,True,0.99
86,ゴッドドラゴン,3000,200,150,70,8,True,1.0
87,スライムエンペラー,500,35,30,20,1,True,0.93
88,ゴブリンエンペラー,450,50,35,18,1,True,0.92
89,キラーマンティス,130,28,10,10,4,False,0.22
90,ジャイアントスパイダー,110,24,8,9,4,False,0.25
91,ポイズンスパイダー,90,20,6,8,4,False,0.28
92,キラービー,70,22,4,7,4,False,0.3
93,ジャイアントホーネット,100,26,6,9,4,False,0.25
94,ラミア,180,32,18,12,6,False,0.18
95,ナーガ,220,38,22,14,6,False,0.15
96,ナーガクイーン,400,55,38,19,6,True,0.9
97,サンドワーム,350,45,40,16,7,False,0.12
98,デザートドラゴン,900,88,58,27,7,True,0.95
99,アンシェントドラゴン,2200,160,110,55,8,True,0.99
100,ダークドラゴン,2800,190,130,65,8,True,1.0
