id,name,class,level,hp,attack,defense,primary_skill_id
1,Alice,Warrior,12,420,68,44,1
2,Bob,Mage,10,260,85,22,2
3,Carol,Ranger,11,310,72,30,3
4,Dave,Paladin,14,500,62,58,5
5,Eve,Sorcerer,18,290,110,24,6
6,Frank,Warrior,8,350,55,38,1
7,Grace,Priest,15,280,40,35,5
8,Henry,Assassin,20,300,120,28,10
9,Iris,Mage,22,310,130,26,6
10,Jack,Ranger,16,340,80,34,3
11,Karen,Paladin,25,620,75,72,5
12,Leo,Warrior,30,680,95,60,1
13,Mia,Sorcerer,28,350,140,30,14
14,Noah,Assassin,17,290,98,26,10
15,Olivia,Priest,19,300,45,40,5
16,Paul,Warrior,5,280,42,32,1
17,Quinn,Mage,7,220,60,18,2
18,Rose,Ranger,9,290,65,28,3
19,Sam,Paladin,11,440,58,50,5
20,Tina,Sorcerer,13,250,90,22,6
21,Ulric,Warrior,35,750,105,68,1
22,Violet,Mage,33,380,150,32,14
23,Wayne,Assassin,27,320,115,30,10
24,Xena,Warrior,40,820,115,75,1
25,Yuki,Priest,31,360,55,48,5
26,Zack,Ranger,24,370,90,38,3
27,Aria,Sorcerer,38,400,160,35,6
28,Blake,Paladin,36,700,85,80,5
29,Chloe,Mage,15,270,95,24,2
30,Derek,Warrior,18,480,72,48,1
31,Elena,Priest,22,320,50,42,5
32,Finn,Assassin,29,330,125,32,10
33,Gina,Ranger,20,350,82,36,3
34,Hugo,Paladin,26,580,70,65,5
35,Ivy,Sorcerer,32,370,145,28,14
36,Jake,Warrior,42,850,120,78,1
37,Kira,Mage,37,390,155,34,6
38,Liam,Assassin,35,340,130,34,10
39,Maya,Ranger,28,380,92,40,3
40,Nate,Paladin,30,640,78,70,5
41,Olga,Priest,26,340,52,45,5
42,Pete,Warrior,15,430,65,42,1
43,Rita,Sorcerer,24,330,120,26,6
44,Sean,Mage,19,280,100,22,2
45,Tara,Ranger,14,320,75,32,3
46,Ugo,Assassin,22,310,105,28,10
47,Vera,Paladin,20,520,65,56,5
48,Will,Warrior,25,550,82,52,1
49,Xia,Priest,28,350,55,46,5
50,Yuri,Sorcerer,35,380,150,32,14
51,Abel,Warrior,45,900,128,82,1
52,Beth,Mage,40,410,165,36,6
53,Cain,Assassin,38,350,135,36,10
54,Dana,Ranger,32,400,98,42,3
55,Erik,Paladin,34,680,82,74,5
56,Faye,Priest,30,360,58,50,5
57,Glen,Warrior,22,500,75,48,1
58,Hope,Sorcerer,26,340,125,28,6
59,Ivan,Mage,29,320,135,28,14
60,Jade,Ranger,18,330,78,34,3
61,Kurt,Paladin,38,720,88,78,5
62,Luna,Assassin,33,335,128,34,10
63,Mark,Warrior,48,950,135,85,1
64,Nina,Priest,34,380,60,52,5
65,Owen,Sorcerer,40,420,170,38,14
66,Pia,Mage,25,300,115,26,2
67,Rex,Ranger,30,390,95,40,3
68,Sara,Paladin,28,600,72,66,5
69,Troy,Assassin,40,360,140,38,10
70,Uma,Warrior,38,800,112,72,1
71,Vick,Priest,32,370,56,48,5
72,Wren,Sorcerer,42,430,175,40,6
73,Xavi,Mage,35,370,148,32,14
74,Yuna,Ranger,26,370,88,38,3
75,Zeke,Warrior,50,980,140,88,1
76,Alma,Paladin,42,760,92,82,5
77,Bran,Assassin,44,370,142,40,10
78,Cora,Priest,36,390,62,54,5
79,Dean,Mage,42,420,168,38,6
80,Ella,Ranger,34,410,100,44,3
81,Fitz,Warrior,28,560,85,54,1
82,Gail,Sorcerer,30,360,138,30,14
83,Hans,Paladin,32,650,80,72,5
84,Inga,Assassin,26,315,112,30,10
85,Joel,Mage,31,340,140,30,2
86,Kara,Priest,24,330,48,44,5
87,Lars,Warrior,34,700,98,62,1
88,Nell,Ranger,22,355,84,36,3
89,Odin,Paladin,45,780,95,85,5
90,Pam,Sorcerer,36,395,155,34,6
91,Ralf,Assassin,30,325,118,32,10
92,Suki,Mage,28,310,128,28,14
93,Theo,Warrior,20,470,70,46,1
94,Una,Priest,18,290,44,38,5
95,Vito,Ranger,36,420,102,46,3
96,Wynn,Sorcerer,44,440,178,42,14
97,Xion,Paladin,40,740,90,80,5
98,Yael,Assassin,42,365,138,38,10
99,Zara,Warrior,46,920,132,84,1
100,Amir,Mage,44,430,172,40,6
