id,name,category,rarity,price,is_tradable
1001,Iron Sword,Weapon,1,120,true
1002,Silver Sword,Weapon,3,980,true
1003,Wizard Staff,Weapon,2,720,true
1004,Bronze Axe,Weapon,1,150,true
1005,Steel Lance,Weapon,2,640,true
1006,Mythril Dagger,Weapon,3,1100,true
1007,Flame Blade,Weapon,4,3200,true
1008,Ice Rapier,Weapon,4,3400,true
1009,Thunder Hammer,Weapon,4,3600,true
1010,Holy Bow,Weapon,5,8500,false
1011,Dark Scythe,Weapon,5,9200,false
1012,Wooden Staff,Weapon,1,80,true
1013,Battle Axe,Weapon,2,580,true
1014,Crystal Wand,Weapon,3,1350,true
1015,Dragon Fang,Weapon,5,12000,false
1016,Assassin Blade,Weapon,3,1200,true
1017,War Hammer,Weapon,2,700,true
1018,Crimson Spear,Weapon,4,2800,true
1019,Wind Cutter,Weapon,3,1500,true
1020,Celestial Rod,Weapon,5,15000,false
2001,Leather Armor,Armor,1,260,true
2002,Knight Armor,Armor,4,2400,true
2003,Iron Shield,Armor,1,180,true
2004,Chain Mail,Armor,2,520,true
2005,Mage Robe,Armor,2,480,true
2006,Silver Plate,Armor,3,1400,true
2007,Mythril Mail,Armor,4,2800,true
2008,Dragon Scale,Armor,5,7500,false
2009,Holy Shield,Armor,4,3200,true
2010,Shadow Cloak,Armor,3,1600,true
2011,Crystal Armor,Armor,5,9800,false
2012,Wooden Shield,Armor,1,100,true
2013,Brigandine,Armor,2,620,true
2014,Tower Shield,Armor,3,1300,true
2015,Flame Guard,Armor,4,2600,true
2016,Ice Barrier,Armor,4,2600,true
2017,Arcane Vest,Armor,3,1100,true
2018,Paladin Plate,Armor,5,8200,false
2019,Ranger Coat,Armor,2,540,true
2020,Adamant Shield,Armor,5,11000,false
3001,Healing Potion,Consumable,1,50,true
3002,Elixir,Consumable,5,5000,false
3003,Mana Potion,Consumable,1,60,true
3004,Antidote,Consumable,1,30,true
3005,Phoenix Down,Consumable,4,2000,true
3006,Bomb Fragment,Consumable,2,200,true
3007,Smoke Bomb,Consumable,2,180,true
3008,Strength Tonic,Consumable,2,300,true
3009,Defense Salve,Consumable,2,300,true
3010,Speed Draught,Consumable,2,350,true
3011,Greater Healing Potion,Consumable,2,150,true
3012,Greater Mana Potion,Consumable,2,180,true
3013,Full Potion,Consumable,3,800,true
3014,Revive Crystal,Consumable,3,1200,true
3015,Fire Bottle,Consumable,1,100,true
3016,Ice Shard,Consumable,1,100,true
3017,Thunder Scroll,Consumable,2,250,true
3018,Holy Water,Consumable,2,200,true
3019,Dark Essence,Consumable,3,600,true
3020,Mega Elixir,Consumable,5,12000,false
4001,Quest Scroll,Quest,2,0,false
4002,Old Map,Quest,1,0,false
4003,Royal Letter,Quest,3,0,false
4004,Dragon Egg,Quest,5,0,false
4005,Ancient Rune,Quest,4,0,false
4006,Village Request,Quest,1,0,false
4007,Prison Key,Quest,2,0,false
4008,Sacred Gem,Quest,4,0,false
4009,Demon Seal,Quest,5,0,false
4010,Guild Certificate,Quest,3,0,false
5001,Power Ring,Accessory,2,400,true
5002,Magic Amulet,Accessory,2,450,true
5003,Speed Boots,Accessory,3,1000,true
5004,Guardian Earring,Accessory,3,1200,true
5005,Lucky Charm,Accessory,4,2500,true
5006,Dragon Pendant,Accessory,5,8000,false
5007,Silver Ring,Accessory,1,200,true
5008,Iron Bracelet,Accessory,1,180,true
5009,Flame Necklace,Accessory,3,1400,true
5010,Frost Tiara,Accessory,4,2800,true
5011,Thunder Belt,Accessory,3,1100,true
5012,Holy Circlet,Accessory,4,3000,true
5013,Shadow Earring,Accessory,3,1300,true
5014,Crystal Brooch,Accessory,4,2600,true
5015,Celestial Crown,Accessory,5,10000,false
6001,Iron Ore,Material,1,20,true
6002,Silver Ore,Material,2,80,true
6003,Mythril Ore,Material,3,300,true
6004,Dragon Bone,Material,4,1500,true
6005,Crystal Shard,Material,3,250,true
6006,Flame Stone,Material,2,120,true
6007,Ice Crystal,Material,2,120,true
6008,Thunder Pearl,Material,2,140,true
6009,Holy Fragment,Material,3,350,true
6010,Dark Shard,Material,3,380,true
6011,Wood Plank,Material,1,10,true
6012,Beast Hide,Material,1,25,true
6013,Monster Fang,Material,2,60,true
6014,Spirit Dust,Material,2,90,true
6015,Adamantite,Material,5,5000,false
